sample_id,n_nodes,input_facts,closure_facts,rounds,matches,seconds,derived_down,oracle_agreement
739,22,34,188,5,13082,0.01366791199961881,17,1
740,22,36,166,4,9139,0.009321432999968238,10,1
741,22,33,149,4,7955,0.00812160599980416,6,1
742,22,37,190,5,14096,0.013174759999856178,17,1
743,22,37,166,4,9413,0.008760142000028281,10,1
744,29,54,278,6,35298,0.033215853000001516,20,1
745,29,50,245,5,23572,0.021884200999920722,11,1
746,29,46,220,5,19890,0.019158021999828634,1,1
747,29,50,281,6,33297,0.029459323000082804,20,1
748,29,46,220,5,19890,0.018234918999951333,1,1
749,29,47,224,5,20734,0.018998022000232595,3,1
750,29,51,287,6,34172,0.03307776800011197,24,1
751,29,47,238,5,21805,0.024846231000083208,10,1
752,30,50,273,6,35905,0.042753790999995545,12,1
753,30,43,262,6,30590,0.043905258000449976,9,1
754,30,46,241,5,23705,0.04519136599992635,4,1
755,30,52,309,6,39993,0.08997190100035368,23,1
756,30,48,292,6,34951,0.06697146599981352,13,1
757,30,45,286,6,34329,0.059061754000140354,19,1
758,30,48,301,6,36572,0.057883573999788496,20,1
759,30,45,238,5,23204,0.04086298499987606,4,1
760,26,43,199,5,17556,0.027100346000224818,3,1
761,26,41,193,5,16194,0.024454010999761522,0,1
762,26,48,239,5,21922,0.04064946200014674,16,1
763,26,42,197,5,16969,0.0313243689997762,2,1
764,26,45,214,5,19247,0.024571115000071586,8,1
765,26,45,204,5,18730,0.0306617020005433,5,1
766,26,52,254,5,24171,0.04073528500066459,19,1
767,26,49,270,6,30566,0.05476480699962849,23,1
768,21,33,151,5,10006,0.01712488100019982,0,1
769,21,38,204,5,13847,0.019889797000359977,17,1
770,21,35,165,5,11323,0.01431124999999156,5,1
771,21,39,195,5,13772,0.018005764999543317,13,1
772,21,35,155,5,10916,0.014347990000715072,2,1
773,21,35,170,5,11648,0.016038638999816612,8,1
774,21,34,153,5,10461,0.012378766999972868,1,1
775,21,36,189,6,16518,0.018507215000681754,13,1
776,22,34,144,5,10111,0.011624686999311962,8,1
777,22,31,136,5,9014,0.013189680999857956,6,1
778,22,29,122,5,7598,0.010338154999772087,0,1
779,22,31,136,5,9014,0.011317390999465715,6,1
780,22,32,154,5,9760,0.012722716999633121,10,1
781,22,34,183,6,15282,0.018332179000026372,21,1
782,22,37,168,5,11962,0.01643347499975789,15,1
783,22,33,151,5,9897,0.01041314499980217,9,1
784,23,34,198,6,18193,0.023627730000043812,10,1
785,23,35,185,6,17640,0.020146539000052144,5,1
786,23,35,186,6,17640,0.020330259999354894,5,1
787,23,35,187,6,17855,0.0218760289999409,6,1
788,23,34,173,6,16589,0.018282170000020415,2,1
789,23,41,246,7,28985,0.04855255200072861,19,1
790,23,34,175,6,16799,0.016749875000641623,3,1
791,23,36,248,7,26106,0.030679192000206967,19,1
792,24,47,264,6,28467,0.03645274199971027,22,1
793,24,39,262,7,29911,0.034870580999267986,23,1
794,24,44,261,7,33008,0.03808941899933416,22,1
