case,fault,method,test_normal,test_fault,f1_macro,balanced_accuracy,false_alarm_rate,fault_period_recall
re2ob_currencyservice_loss_3,loss,SingleCenter,144,721,0.9364493946161985,0.9291782246879334,0.125,0.9833564493758669
re2ob_currencyservice_loss_3,loss,KMeans,144,721,0.9738566802052409,0.9909847434119279,0.0,0.9819694868238558
re2ob_currencyservice_loss_3,loss,MaxDeviation,144,721,0.9738566802052409,0.9909847434119279,0.0,0.9819694868238558
re2ob_currencyservice_mem_1,mem,SingleCenter,144,721,0.9877067818770962,0.9958391123439667,0.0,0.9916782246879334
re2ob_currencyservice_mem_1,mem,KMeans,144,721,0.9856189777242597,0.9923668901217445,0.006944444444444444,0.9916782246879334
re2ob_currencyservice_mem_1,mem,MaxDeviation,144,721,0.9877067818770962,0.9958391123439667,0.0,0.9916782246879334
re2ob_currencyservice_mem_2,mem,SingleCenter,144,721,0.9738566802052409,0.9909847434119279,0.0,0.9819694868238558
re2ob_currencyservice_mem_2,mem,KMeans,144,721,0.9600922722029989,0.9562577053475112,0.0763888888888889,0.9889042995839112
re2ob_currencyservice_mem_2,mem,MaxDeviation,144,721,0.950287356321839,0.9527902989674835,0.0763888888888889,0.9819694868238558
re2ob_currencyservice_mem_3,mem,SingleCenter,144,721,0.9836970862075465,0.9944521497919556,0.0,0.9889042995839112
re2ob_currencyservice_mem_3,mem,KMeans,144,721,0.9836970862075465,0.9944521497919556,0.0,0.9889042995839112
re2ob_currencyservice_mem_3,mem,MaxDeviation,144,721,0.9836970862075465,0.9944521497919556,0.0,0.9889042995839112
re2ob_currencyservice_socket_1,socket,SingleCenter,144,721,0.6684291315505853,0.7703276699029127,0.1875,0.7281553398058253
re2ob_currencyservice_socket_1,socket,KMeans,144,721,0.85156623749402,0.8264081522576668,0.3194444444444444,0.9722607489597781
re2ob_currencyservice_socket_1,socket,MaxDeviation,144,721,0.7075575427706422,0.6701581522576668,0.6319444444444444,0.9722607489597781
re2ob_currencyservice_socket_2,socket,SingleCenter,144,721,0.9938029702757499,0.9979195561719834,0.0,0.9958391123439667
re2ob_currencyservice_socket_2,socket,KMeans,144,721,0.9938029702757499,0.9979195561719834,0.0,0.9958391123439667
re2ob_currencyservice_socket_2,socket,MaxDeviation,144,721,0.9938029702757499,0.9979195561719834,0.0,0.9958391123439667
re2ob_currencyservice_socket_3,socket,SingleCenter,144,721,0.8927198313282898,0.8666782246879334,0.25,0.9833564493758669
re2ob_currencyservice_socket_3,socket,KMeans,144,721,0.8606746910327845,0.8201475574048389,0.3472222222222222,0.9875173370319001
re2ob_currencyservice_socket_3,socket,MaxDeviation,144,721,0.8451901565995525,0.8000077053475112,0.3888888888888889,0.9889042995839112
