sample_id,n_nodes,input_facts,closure_facts,rounds,matches,seconds,derived_down,oracle_agreement
128,10,14,92,5,3324,0.004766401000779297,9,1
129,10,8,50,5,1644,0.0026063520008392516,0,1
130,10,8,50,5,1644,0.0025759099999049795,0,1
131,10,10,65,6,2621,0.003972696000346332,2,1
132,10,9,60,5,1849,0.002816414999870176,1,1
133,10,15,92,6,4187,0.006421295999643917,8,1
134,10,11,66,5,2274,0.004377357000521442,3,1
135,10,9,60,5,1849,0.002995636000377999,1,1
136,16,17,118,5,5477,0.007544912000412296,3,1
137,16,15,102,5,4778,0.006896719999531342,1,1
138,16,18,120,5,6012,0.008384036000279593,5,1
139,16,17,95,5,5462,0.007865827999921748,3,1
140,16,14,86,5,4436,0.006226817000424489,0,1
141,16,16,104,5,5120,0.007053819999782718,2,1
142,16,19,112,5,6423,0.008558024999729241,7,1
143,16,18,104,5,5824,0.007670700999369728,4,1
144,17,19,123,5,8198,0.010979573000440723,4,1
145,17,18,117,5,7759,0.011588084000322851,3,1
146,17,19,135,5,8218,0.01143080500060023,4,1
147,17,18,125,5,7759,0.01104166000004625,3,1
148,17,22,197,6,15116,0.020379993000460672,17,1
149,17,17,123,5,7360,0.010091881000334979,2,1
150,17,20,149,5,8906,0.011507668999911402,6,1
151,17,18,138,5,7834,0.010245894999570737,3,1
152,11,9,52,5,1730,0.002662421999957587,0,1
153,11,9,52,5,1730,0.0026756629995361436,0,1
154,11,10,54,5,1933,0.003499989999909303,1,1
155,11,11,68,5,2156,0.003431101000387571,2,1
156,11,9,52,5,1730,0.0029130869997970876,0,1
157,11,11,74,5,2340,0.0037432090002766927,4,1
158,11,13,69,5,2738,0.004064307000589906,6,1
159,11,10,65,5,1943,0.0035175899993191706,1,1
160,16,17,139,5,6743,0.009607867999875452,5,1
161,16,19,145,6,9738,0.012773526000273705,7,1
162,16,14,96,5,5250,0.00747878599941032,0,1
163,16,16,120,5,6180,0.008571921000111615,3,1
164,16,19,117,5,7283,0.009471327000028396,6,1
165,16,14,96,5,5250,0.007680193999476614,0,1
166,16,14,96,5,5250,0.0075246309997965,0,1
167,16,15,110,5,5784,0.007783126000504126,2,1
168,12,13,65,5,2938,0.005630544000268856,3,1
169,12,12,77,5,2906,0.004355666000265046,4,1
170,12,12,79,5,2714,0.004891972000223177,2,1
171,12,11,63,5,2470,0.0046755840003243065,1,1
172,12,10,59,5,2236,0.0037092849997861777,0,1
173,12,16,88,5,3670,0.005802955000035581,6,1
174,12,10,59,5,2236,0.0033483910001450568,0,1
175,12,13,82,5,2938,0.004536528000244289,3,1
176,14,18,110,6,7632,0.01156998599981307,4,1
177,14,17,107,6,7193,0.015232447000016691,3,1
178,14,18,131,6,7820,0.011000878999766428,5,1
179,14,17,109,6,7021,0.009727579999889713,2,1
180,14,22,138,7,11454,0.015730880999399233,7,1
181,14,17,122,6,7604,0.011266958999840426,6,1
182,14,17,103,6,7021,0.009410541999386624,2,1
183,14,19,142,7,10439,0.014059343000553781,7,1
184,15,15,98,5,5885,0.00868418699974427,2,1
185,15,15,100,5,5895,0.008188419000362046,2,1
186,15,15,100,5,5895,0.007851418999962334,2,1
187,15,14,107,6,7080,0.009753899999850546,1,1
188,15,13,92,5,5131,0.007407398999930592,0,1
189,15,18,127,5,7342,0.01112563999959093,6,1
190,15,14,94,5,5503,0.007580010999845399,1,1
191,15,15,126,5,5905,0.00862133700047707,2,1
192,10,10,61,5,1872,0.003251821000048949,4,1
193,10,10,47,4,1200,0.0019544739998309524,1,1
194,10,9,45,4,1062,0.0017009149996738415,0,1
195,10,10,53,4,1204,0.001940825999554363,1,1
196,10,9,45,4,1062,0.0017014629993354902,0,1
197,10,9,45,4,1062,0.0017069919995265082,0,1
198,10,9,45,4,1062,0.0017748749996826518,0,1
199,10,10,53,4,1204,0.0019423220001044683,1,1
200,18,24,166,5,11406,0.014644980000412033,9,1
201,18,23,164,5,10710,0.01380430500012153,7,1
202,18,21,156,5,9820,0.012989567000659008,5,1
203,18,27,212,6,17832,0.02407112499986397,15,1
